bert_precision,bert_recall,bert_f1
0.8290981650352478,0.8679831624031067,0.848095178604126
0.8684400320053101,0.901309609413147,0.884569525718689
0.900543749332428,0.8934754133224487,0.8969956636428833
0.8759063482284546,0.8617755770683289,0.8687835335731506
0.8664572834968567,0.8578276038169861,0.8621208667755127
0.8658190965652466,0.9255452752113342,0.8946864604949951
0.8661379218101501,0.8999367356300354,0.8827139139175415
0.8759374618530273,0.919548511505127,0.897213339805603
0.9023216366767883,0.9111911058425903,0.9067346453666687
0.8824672698974609,0.872887909412384,0.8776515126228333
0.8890782594680786,0.8938801288604736,0.8914727568626404
0.8537164926528931,0.9064446687698364,0.879290759563446
0.8551017642021179,0.8825021982192993,0.868586003780365
0.8499025702476501,0.8434953689575195,0.846686840057373
0.8904466032981873,0.9247708916664124,0.9072842001914978
0.9386410713195801,0.9745075702667236,0.9562381505966187
0.8701106309890747,0.8850505948066711,0.87751704454422
0.8820493221282959,0.8351125121116638,0.8579393625259399
0.8332287073135376,0.8567600846290588,0.8448305130004883
0.8869427442550659,0.962489902973175,0.9231733083724976
0.9162260890007019,0.8913695812225342,0.9036268591880798
0.8926984071731567,0.9048702120780945,0.8987431526184082
0.8895870447158813,0.9546475410461426,0.9209697246551514
0.8720295429229736,0.8701958656311035,0.8711117506027222
0.8503679037094116,0.9240016937255859,0.8856569528579712
0.9279512166976929,0.8968891501426697,0.9121558666229248
0.9542913436889648,0.9693317413330078,0.961752712726593
0.8447114825248718,0.8584085702896118,0.851504921913147
0.843356192111969,0.887651264667511,0.8649370074272156
0.9030097126960754,0.890713632106781,0.896819531917572
0.8990514874458313,0.8979858160018921,0.8985183238983154
0.9106241464614868,0.9309840202331543,0.9206915497779846
0.8923360109329224,0.8882359862327576,0.8902813196182251
0.8696228265762329,0.8503080606460571,0.8598569631576538
0.8762089014053345,0.8812646269798279,0.878729522228241
0.9031129479408264,0.9029718041419983,0.9030423760414124
0.9768379330635071,0.9889165163040161,0.9828400611877441
0.8831415772438049,0.8621013760566711,0.872494637966156
0.8355100154876709,0.9380128383636475,0.8837993144989014
0.8902602195739746,0.8595789670944214,0.8746505975723267
0.872389554977417,0.9233512878417969,0.8971472978591919
0.8818985819816589,0.9067170023918152,0.894135594367981
0.8952999711036682,0.8758705258369446,0.885478675365448
0.8656657934188843,0.8735572099685669,0.869593620300293
0.8783522248268127,0.9202442169189453,0.8988103866577148
0.8330872654914856,0.8716855645179749,0.8519494533538818
0.8768467903137207,0.8927234411239624,0.884713888168335
0.935401201248169,0.9529371857643127,0.9440878033638
0.9068025350570679,0.8753327131271362,0.8907897472381592
0.8712689876556396,0.9447508454322815,0.9065232872962952
0.8716741800308228,0.9287295341491699,0.899297833442688
0.894130289554596,0.9202721118927002,0.907012939453125
0.9047795534133911,0.9030883312225342,0.9039331674575806
0.9277430176734924,0.934817373752594,0.9312667846679688
0.8932915329933167,0.9154112339019775,0.9042161703109741
0.9122422337532043,0.964861273765564,0.9378142356872559
0.8505479097366333,0.9002330899238586,0.8746854662895203
0.9117255806922913,0.9359256029129028,0.9236670732498169
0.9224727153778076,0.9418519139289856,0.9320616126060486
0.9006268382072449,0.9105334877967834,0.9055530428886414
0.8408488631248474,0.9012418389320374,0.8699985146522522
0.8768754601478577,0.9004960656166077,0.8885288238525391
0.8706691265106201,0.8516440391540527,0.8610515594482422
0.9643554091453552,0.9874511957168579,0.975766658782959
0.875667929649353,0.862683117389679,0.8691270351409912
0.937087893486023,0.9310566782951355,0.9340626001358032
0.8040865659713745,0.816328763961792,0.8101614713668823
0.8682351112365723,0.9505441784858704,0.9075272083282471
0.9151676893234253,0.9603399038314819,0.9372097849845886
0.9086802005767822,0.9191224575042725,0.9138715267181396
0.9999999403953552,0.9999999403953552,0.9999999403953552
0.9114635586738586,0.9643656015396118,0.9371685981750488
0.8654630184173584,0.8481802344322205,0.8567344546318054
0.8948088884353638,0.96117103099823,0.9268035292625427
0.8748677968978882,0.9036634564399719,0.8890324831008911
0.8874636888504028,0.9032043814659119,0.8952649235725403
0.9534466862678528,0.9655579924583435,0.9594640731811523
0.8490028977394104,0.8633061051368713,0.8560947775840759
0.9218367338180542,0.887033224105835,0.9041001200675964
0.9192683100700378,0.9222780466079712,0.9207707643508911
0.9618813395500183,0.987614095211029,0.9745779037475586
0.9461784362792969,0.980315089225769,0.9629443287849426
0.8745676279067993,0.8902465105056763,0.8823374509811401
0.8928946256637573,0.8996884822845459,0.8962786793708801
0.8942598104476929,0.9070987701416016,0.9006335139274597
0.8843647241592407,0.8943939208984375,0.8893510699272156
0.8451054096221924,0.8532931804656982,0.8491795659065247
0.8685935735702515,0.8965268135070801,0.8823391795158386
0.8725802302360535,0.8986552357673645,0.8854258060455322
0.8948472142219543,0.8873608112335205,0.8910883069038391
0.8815866708755493,0.889031171798706,0.8852933049201965
0.8318442702293396,0.901039183139801,0.8650602698326111
0.8762444853782654,0.8977069854736328,0.8868458271026611
0.8736602067947388,0.8790526986122131,0.8763481378555298
0.8986318111419678,0.9143166542053223,0.9064064025878906
0.863093912601471,0.885749101638794,0.8742747902870178
0.9522398710250854,0.9522819519042969,0.9522609114646912
0.8654245734214783,0.9331756830215454,0.8980240821838379
0.9664818048477173,0.9066263437271118,0.9355977177619934
0.9545766115188599,0.9519809484481812,0.9532769918441772
0.8894160389900208,0.9660618305206299,0.9261559247970581
0.9398625493049622,0.8938592672348022,0.9162838459014893
0.880062997341156,0.8799959421157837,0.8800294995307922
0.8511942625045776,0.9000498652458191,0.8749406337738037
0.9114806652069092,0.9488494396209717,0.9297897219657898
0.9348113536834717,0.9300573468208313,0.9324283003807068
0.8868522644042969,0.8769941926002502,0.8818956613540649
0.8713362216949463,0.9326217770576477,0.9009380340576172
0.8836972117424011,0.8673230409622192,0.8754335641860962
0.9516395330429077,0.9127905368804932,0.9318103194236755
0.9398865103721619,0.8927755951881409,0.9157255291938782
0.9196981191635132,0.9505633115768433,0.934876024723053
0.8293853402137756,0.8550513386726379,0.8420228362083435
0.945381760597229,0.9441286325454712,0.9447547793388367
0.9022811651229858,0.9172739386558533,0.9097157716751099
0.9392039775848389,0.902755618095398,0.9206191897392273
0.8653831481933594,0.8657354712486267,0.8655592799186707
0.9149879813194275,0.8924630284309387,0.9035851359367371
0.9482997059822083,0.9773831367492676,0.9626218676567078
0.9586387276649475,0.9187652468681335,0.9382785558700562
